# tosses fair_probability biased_probability
84 0.58333333 0.71428571
85 0.58823529 0.71764706
86 0.58139535 0.72093023
87 0.57471264 0.72413793
88 0.57954545 0.72727273
89 0.58426966 0.71910112
90 0.58888889 0.72222222
91 0.58241758 0.72527473
92 0.57608696 0.72826087
93 0.58064516 0.73118280
94 0.58510638 0.73404255
95 0.57894737 0.73684211
96 0.58333333 0.73958333
97 0.58762887 0.73195876
98 0.59183673 0.72448980
99 0.58585859 0.72727273
100 0.59000000 0.73000000
110 0.60909091 0.71818182
120 0.60833333 0.72500000
130 0.59230769 0.71538462
140 0.58571429 0.72142857
150 0.56666667 0.72666667
160 0.57500000 0.71875000
170 0.56470588 0.71176471
180 0.56666667 0.71111111
190 0.55789474 0.70526316
200 0.55000000 0.70000000
210 0.55238095 0.70476190
220 0.54545455 0.69545455
230 0.54347826 0.69565217
240 0.55000000 0.70833333
250 0.55600000 0.71200000
260 0.55769231 0.71923077
270 0.55925926 0.71851852
280 0.55000000 0.72142857
290 0.54827586 0.71034483
300 0.55000000 0.70333333
310 0.55806452 0.70322581
320 0.56250000 0.70000000
330 0.56060606 0.69393939
340 0.56176471 0.69411765
350 0.56000000 0.69142857
360 0.56111111 0.69166667
370 0.55135135 0.68918919
380 0.55000000 0.68684211
390 0.54358974 0.68461538
400 0.53750000 0.69000000
410 0.53902439 0.69268293
420 0.53095238 0.69523810
430 0.52790698 0.69069767
440 0.52954545 0.68863636
450 0.52888889 0.68888889
460 0.52826087 0.68913043
470 0.52553191 0.68723404
480 0.52500000 0.68750000
490 0.52040816 0.68367347
500 0.51800000 0.68600000
510 0.51568627 0.68627451
520 0.51346154 0.69038462
530 0.51698113 0.69056604
540 0.51481481 0.69259259
550 0.51272727 0.69272727
560 0.50714286 0.69642857
570 0.50701754 0.69649123
580 0.50517241 0.69827586
590 0.50847458 0.69661017
600 0.50666667 0.69500000
610 0.50327869 0.69344262
620 0.50322581 0.69838710
630 0.50476190 0.70000000
640 0.50312500 0.70156250
650 0.50461538 0.70307692
660 0.50606061 0.70454545
670 0.50597015 0.70298507
680 0.50735294 0.70588235
690 0.50000000 0.70579710
700 0.50142857 0.70571429
710 0.50422535 0.70704225
720 0.50416667 0.70416667
730 0.50410959 0.70547945
740 0.50135135 0.70540541
750 0.50133333 0.70533333
760 0.50000000 0.70657895
770 0.49870130 0.70389610
780 0.49871795 0.70641026
790 0.49873418 0.70759494
800 0.49750000 0.70875000
810 0.49876543 0.70740741
820 0.49512195 0.70731707
830 0.49397590 0.70722892
840 0.49404762 0.70833333
850 0.49176471 0.70705882
860 0.49186047 0.70581395
870 0.49080460 0.70459770
880 0.49204545 0.70454545
890 0.49325843 0.70337079
900 0.49222222 0.70444444
910 0.49230769 0.70439560
920 0.49239130 0.70217391
930 0.49247312 0.70322581
940 0.49042553 0.70319149
950 0.49052632 0.70210526
960 0.49166667 0.70416667
970 0.49072165 0.70412371
980 0.49285714 0.70510204
990 0.49393939 0.70202020
1000 0.49300000 0.70200000
1100 0.48272727 0.70454545
1200 0.48833333 0.69833333
1300 0.48538462 0.69538462
1400 0.48500000 0.69500000
1500 0.48400000 0.69600000
1600 0.48625000 0.68875000
1700 0.48529412 0.69117647
1800 0.48277778 0.69333333
1900 0.48315789 0.69473684
2000 0.48750000 0.69650000
2100 0.48190476 0.69857143
2200 0.47954545 0.69772727
2300 0.48173913 0.69826087
2400 0.48166667 0.69958333
2500 0.48160000 0.70040000
2600 0.48538462 0.70000000
2700 0.48370370 0.70000000
2800 0.48428571 0.70107143
2900 0.48206897 0.70034483
3000 0.48366667 0.69933333
3100 0.48193548 0.69935484
3200 0.48343750 0.69843750
3300 0.48393939 0.69696970
3400 0.48470588 0.69852941
3500 0.48428571 0.69885714
3600 0.48583333 0.69611111
3700 0.48594595 0.69648649
3800 0.48578947 0.69763158
3900 0.48692308 0.69846154
4000 0.48700000 0.70000000
4100 0.48756098 0.70121951
4200 0.48761905 0.70071429
4300 0.48790698 0.70093023
4400 0.48772727 0.69931818
4500 0.48888889 0.69711111
4600 0.48956522 0.69695652
4700 0.48957447 0.69659574
4800 0.49041667 0.69770833
4900 0.49040816 0.69795918
5000 0.49020000 0.69900000
5100 0.49000000 0.69784314
5200 0.49000000 0.69961538
5300 0.49132075 0.70150943
5400 0.49222222 0.70018519
5500 0.49181818 0.70054545
5600 0.49160714 0.70017857
5700 0.49157895 0.69894737
5800 0.49120690 0.69913793
5900 0.49050847 0.69881356
6000 0.49033333 0.69883333
6100 0.49163934 0.69967213
6200 0.49241935 0.70000000
6300 0.49301587 0.69920635
6400 0.49296875 0.69953125
6500 0.49261538 0.70015385
6600 0.49212121 0.70000000
6700 0.49328358 0.69985075
6800 0.49279412 0.69955882
6900 0.49347826 0.69985507
7000 0.49400000 0.69985714
7100 0.49507042 0.69873239
7200 0.49486111 0.69861111
7300 0.49479452 0.69986301
7400 0.49635135 0.69878378
7500 0.49706667 0.69893333
7600 0.49763158 0.69868421
7700 0.49727273 0.69883117
7800 0.49705128 0.69923077
7900 0.49594937 0.69911392
8000 0.49575000 0.69875000
8100 0.49654321 0.69913580
8200 0.49731707 0.70000000
8300 0.49710843 0.69987952
8400 0.49583333 0.70035714
8500 0.49658824 0.70011765
8600 0.49627907 0.70069767
8700 0.49586207 0.70011494
8800 0.49500000 0.70022727
8900 0.49629213 0.70011236
9000 0.49688889 0.70066667
9100 0.49637363 0.70098901
9200 0.49641304 0.70086957
9300 0.49666667 0.70215054
9400 0.49595745 0.70234043
9500 0.49642105 0.70210526
9600 0.49604167 0.70229167
9700 0.49577320 0.70175258
9800 0.49561224 0.70214286
9900 0.49585859 0.70303030
10000 0.49520000 0.70360000
10500 0.49657143 0.70409524
11000 0.49845455 0.70154545
11500 0.49956522 0.70113043
12000 0.49883333 0.70075000
12500 0.49944000 0.70120000
13000 0.50046154 0.70223077
13500 0.50088889 0.70274074
14000 0.50242857 0.70235714
14500 0.50317241 0.70289655
15000 0.50400000 0.70300000
15500 0.50374194 0.70219355
16000 0.50287500 0.70275000
16500 0.50290909 0.70260606
17000 0.50294118 0.70111765
17500 0.50314286 0.70051429
18000 0.50250000 0.69977778
18500 0.50297297 0.70027027
19000 0.50210526 0.70089474
19500 0.50143590 0.70082051
20000 0.50055000 0.70075000
20500 0.50112195 0.70063415
21000 0.50100000 0.70090476
21500 0.50232558 0.70009302
22000 0.50259091 0.70022727
22500 0.50275556 0.70026667
23000 0.50343478 0.70100000
23500 0.50255319 0.70110638
24000 0.50316667 0.70066667
24500 0.50277551 0.70081633
25000 0.50304000 0.70068000
25500 0.50294118 0.70133333
26000 0.50323077 0.70142308
26500 0.50381132 0.70109434
27000 0.50348148 0.70088889
27500 0.50341818 0.70105455
28000 0.50289286 0.70042857
28500 0.50280702 0.70063158
29000 0.50372414 0.70048276
29500 0.50362712 0.70003390
30000 0.50356667 0.69956667
30500 0.50314754 0.69944262
31000 0.50309677 0.70006452
31500 0.50320635 0.70006349
32000 0.50256250 0.70028125
32500 0.50258462 0.70076923
33000 0.50275758 0.70063636
33500 0.50274627 0.70050746
34000 0.50264706 0.70088235
34500 0.50228986 0.70034783
35000 0.50208571 0.70022857
35500 0.50177465 0.70011268
36000 0.50133333 0.70022222
36500 0.50178082 0.70013699
37000 0.50164865 0.70018919
37500 0.50152000 0.70029333
38000 0.50165789 0.70015789
38500 0.50148052 0.70018182
39000 0.50117949 0.69982051
39500 0.50144304 0.69987342
40000 0.50167500 0.69977500
40500 0.50180247 0.69955556
41000 0.50187805 0.69912195
41500 0.50113253 0.69942169
42000 0.50147619 0.69978571
42500 0.50080000 0.69990588
43000 0.50095349 0.69993023
43500 0.50108046 0.69967816
44000 0.50102273 0.69954545
44500 0.50134831 0.69928090
45000 0.50106667 0.69924444
45500 0.50116484 0.69918681
46000 0.50121739 0.69921739
46500 0.50109677 0.69898925
47000 0.50110638 0.69908511
47500 0.50090526 0.69888421
48000 0.50104167 0.69910417
48500 0.50140206 0.69903093
49000 0.50130612 0.69873469
49500 0.50109091 0.69868687
50000 0.50122000 0.69878000
